Block Number,Trial Number,Types,Response,Accuracy,Response Time
1,1,unique shape appear,q,correct,3.449445999984164
1,2,No unique shape,p,Correct,0.7068370000342838
1,3,unique shape appear,q,correct,0.48343079996993765
1,4,No unique shape,p,Correct,0.6223380000446923
2,1,No unique shape,p,Correct,0.7334028999903239
2,2,No unique shape,p,Correct,1.4629681999795139
2,3,unique shape appear,q,correct,1.235000399989076
2,4,unique shape appear,q,correct,1.022072100022342
