Block Number,Trial Number,Types,Response,Accuracy,Response Time
1,1,unique shape appear,q,correct,0.6237557999556884
1,2,No unique shape,p,Correct,0.8963552000350319
1,3,No unique shape,q,Incorrect,0.6219334999914281
1,4,unique shape appear,q,correct,0.7316040000296198
2,1,unique shape appear,q,correct,1.0753532000235282
2,2,No unique shape,p,Correct,1.3545129999984056
2,3,No unique shape,p,Correct,0.8820740999653935
2,4,unique shape appear,q,correct,0.8055592000018805
